"ID","SPECIES","x","y","dbh"
10001,ro,3.91,17.84,42.2
10008,rm,2.95,3.52,32.8
10040,ro,6.98,1.6,39.7
10045,ro,12.86,6.4,63
10047,ro,11.26,7.51,31.9
10048,bg,12.66,7.8,14.8
10049,rm,12.56,9.88,13.9
10054,sh,21.51,19.54,14.7
10057,ro,17.02,13.55,39.7
10059,sm,17.05,10.04,6.3
10060,sm,17.32,12.25,8.2
10068,bg,21.52,2.37,10.5
10072,bb,13.56,1.03,17.8
10073,bg,13.84,3.24,14.5
10074,bg,10.67,2.7,13.8
10088,bb,11.92,15.36,22.1
10098,rm,9.35,16.55,9.1
10104,bg,3.0,1.53,11.6
10105,bg,10.25,10.72,10.4
10106,bg,4.26,18.91,8.3
10108,bg,3.58,8.05,9.7
10109,bg,11.45,9.13,5
10110,bg,11.86,12.57,5.8
10111,bg,3.55,11.84,7.6
10112,rm,8.38,13.63,5.6
10114,bg,9.63,2.55,3.5
10116,bg,12.86,14.5,4.5
10117,rm,12.66,9.62,3.6
10201,ro,28.91,17.84,42.2
10208,rm,27.95,3.52,32.8
10240,ro,31.98,1.6,39.7
10245,ro,37.86,6.4,63
10247,ro,36.26,7.51,31.9
10248,bg,37.66,7.8,14.8
10249,rm,37.56,9.88,13.9
10254,sh,46.51,19.54,14.7
10257,ro,43.02,13.55,39.7
10259,sm,43.05,10.04,6.3
10260,sm,43.32,12.25,8.2
10268,bg,46.52,2.37,10.5
10272,bb,38.56,1.03,17.8
10273,bg,38.84,3.24,14.5
10274,bg,35.67,2.7,13.8
10288,bb,36.92,15.36,22.1
10298,rm,34.35,16.55,9.1
10304,bg,28.0,1.53,11.6
10305,bg,35.25,10.72,10.4
10306,bg,29.26,18.91,8.3
10308,bg,28.58,8.05,9.7
10309,bg,36.45,9.13,5
10310,bg,36.86,12.57,5.8
10311,bg,28.55,11.84,7.6
10312,rm,33.38,13.63,5.6
10314,bg,34.63,2.55,3.5
10316,bg,37.86,14.5,4.5
10317,rm,37.66,9.62,3.6
10401,ro,3.91,42.84,42.2
10408,rm,2.95,28.52,32.8
10440,ro,6.98,26.6,39.7
10445,ro,12.86,31.4,63
10447,ro,11.26,32.51,31.9
10448,bg,12.66,32.8,14.8
10449,rm,12.56,34.88,13.9
10454,sh,21.51,44.54,14.7
10457,ro,17.02,38.55,39.7
10459,sm,17.05,35.04,6.3
10460,sm,17.32,37.25,8.2
10468,bg,21.52,27.37,10.5
10472,bb,13.56,26.03,17.8
10773,bg,13.84,28.24,14.5
10474,bg,10.67,27.7,13.8
10488,bb,11.92,40.36,22.1
10498,rm,9.35,41.55,9.1
10504,bg,3.0,26.53,11.6
10505,bg,10.25,35.72,10.4
10506,bg,4.26,43.91,8.3
10508,bg,3.58,33.05,9.7
10509,bg,11.45,34.13,5
10510,bg,11.86,37.57,5.8
10511,bg,3.55,36.84,7.6
10512,rm,8.38,38.63,5.6
10514,bg,9.63,27.55,3.5
10516,bg,12.86,39.5,4.5
10517,rm,12.66,34.62,3.6
10601,ro,28.91,42.84,42.2
10608,rm,27.95,28.52,32.8
10640,ro,31.98,26.6,39.7
10645,ro,37.86,31.4,63
10647,ro,36.26,32.51,31.9
10648,bg,37.66,32.8,14.8
10649,rm,37.56,34.88,13.9
10654,sh,46.51,44.54,14.7
10657,ro,43.02,38.55,39.7
10659,sm,43.05,35.04,6.3
10660,sm,43.32,37.25,8.2
10668,bg,46.52,27.37,10.5
10672,bb,38.56,26.03,17.8
10673,bg,38.84,28.24,14.5
10674,bg,35.67,27.7,13.8
10688,bb,36.92,40.36,22.1
10698,rm,34.35,41.55,9.1
10704,bg,28.0,26.53,11.6
10705,bg,35.25,35.72,10.4
10706,bg,29.26,43.91,8.3
10708,bg,28.58,33.05,9.7
10709,bg,36.45,34.13,5
10710,bg,36.86,37.57,5.8
10711,bg,28.55,36.84,7.6
10712,rm,33.38,38.63,5.6
10714,bg,34.63,27.55,3.5
10716,bg,37.86,39.5,4.5
10717,rm,37.66,34.62,3.6
20001,ro,26.91,17.84,42.2
20008,rm,25.95,3.52,32.8
20040,ro,29.98,1.6,39.7
20045,ro,35.86,6.4,63
20047,ro,34.26,7.51,31.9
20048,bg,35.66,7.8,14.8
20049,rm,35.56,9.88,13.9
20054,sh,44.51,19.54,14.7
20057,ro,40.02,13.55,39.7
20059,sm,40.05,10.04,6.3
20060,sm,40.32,12.25,8.2
20068,bg,44.52,2.37,10.5
