"ID","SPECIES","x","y","dbh"
1,RO,9.3,68.6,48.8
2,WO,16.6,77.4,54.6
3,RO,15.4,71.3,55.8
4,RO,19.8,64.5,55.0
5,RO,30.2,64.3,51.8
6,RO,39.9,73.1,70.3
7,RO,41.6,70.3,64.7
8,RO,57.3,72.7,33.9
9,RO,58.5,75.7,57.6
10,RO,58.5,51.5,70.3
11,RO,38.4,60.3,52.3
12,RO,38.1,28.0,47.0
13,RO,32.3,16.2,49.3
14,RO,24.7,53.3,57.8
15,WO,67.1,17.7,55.5
16,RO,9.3,62.3,56.6
17,RO,50.9,47.7,55.5
18,RO,68.1,47.1,53.1
19,RO,68.1,48.8,39.2
20,RO,46.6,34.6,56.5
21,WO,52.9,37.3,54.2
22,RO,61.3,29.6,55.2
23,RO,59.0,22.7,57.6
24,RO,59.0,22.7,52.4
25,RO,53.8,25.1,64.7
26,RO,43.9,23.8,44.3
27,WO,37.8,20.1,43.3
28,RO,30.8,21.3,40.9
29,WO,27.7,28.8,38.6
30,WO,12.6,38.7,49.3
31,RO,5.5,37.5,45.7
32,RO,1.2,34.4,31.8
33,WO,6.7,30.2,61.2
34,WO,72.2,40.1,50.9
35,WO,8.7,24.8,68.6
36,RO,25.9,15.7,59.3
37,RO,26.8,16.0,48.5
38,RO,34.7,11.1,28.7
39,CO,46.3,14.6,30.1
40,RO,63.4,18.6,43.5
41,WO,64.6,14.3,38.6
42,RO,68.9,30.8,56.3
43,RO,67.5,4.3,30.0
44,RO,47.9,7.3,79.5
45,WO,40.5,2.7,50.9
46,WO,71.2,9.4,53.4
47,RO,22.9,11.7,61.0
48,RO,19.4,5.3,51.6
49,WO,16.8,0.0,38.8
50,RO,12.8,7.2,49.3
51,WO,4.7,18.3,48.3
52,WO,4.9,19.8,48.5
53,RO,80.2,1.8,60.7
54,RO,87.2,2.6,58.0
55,RO,93.3,8.5,55.7
56,RO,93.1,13.7,47.7
57,CO,105.8,5.2,38.1
58,RO,109.4,4.9,63.8
59,WO,116.1,0.9,32.3
60,WO,119.5,2.4,27.4
61,RO,108.2,8.7,44.6
62,CO,119.5,13.4,47.0
63,RO,128.3,14.9,56.7
64,WO,128.3,2.7,22.0
65,WO,134.0,1.8,32.0
66,CO,136.7,6.9,17.3
67,CO,138.1,3.2,29.7
68,RO,139.4,4.3,21.1
69,CO,141.6,11.6,16.0
70,RO,135.9,10.5,21.8
