"ID","SPECIES","dbh","x","y"
1,"ro",42.2,3.91,17.84
8,"rm",32.8,2.95,3.52
40,"ro",39.7,6.98,1.6
45,"ro",63,12.86,6.4
47,"ro",31.9,11.26,7.51
48,"bg",14.8,12.66,7.8
49,"rm",13.9,12.56,9.88
54,"sh",14.7,21.51,19.54
57,"ro",39.7,17.02,13.55
59,"sm",6.3,17.05,10.04
60,"sm",8.2,17.32,12.25
68,"bg",10.5,21.52,2.37
72,"bb",17.8,13.56,1.03
73,"bg",14.5,13.84,3.24
74,"bg",13.8,10.67,2.7
88,"bb",22.1,11.92,15.36
98,"rm",9.1,9.35,16.55
104,"bg",11.6,3,1.53
105,"bg",10.4,10.25,10.72
106,"bg",8.3,4.26,18.91
108,"bg",9.7,3.58,8.05
109,"bg",5,11.45,9.13
110,"bg",5.8,11.86,12.57
111,"bg",7.6,3.55,11.84
112,"rm",5.6,8.38,13.63
114,"bg",3.5,9.63,2.55
116,"bg",4.5,12.86,14.5
117,"rm",3.6,12.66,9.62
201,"ro",42.2,28.91,17.84
208,"rm",32.8,27.95,3.52
240,"ro",39.7,31.98,1.6
245,"ro",63,37.86,6.4
247,"ro",31.9,36.26,7.51
248,"bg",14.8,37.66,7.8
249,"rm",13.9,37.56,9.88
254,"sh",14.7,46.51,19.54
257,"ro",39.7,43.02,13.55
259,"sm",6.3,43.05,10.04
260,"sm",8.2,43.32,12.25
268,"bg",10.5,46.52,2.37
272,"bb",17.8,38.56,1.03
273,"bg",14.5,38.84,3.24
274,"bg",13.8,35.67,2.7
288,"bb",22.1,36.92,15.36
298,"rm",9.1,34.35,16.55
304,"bg",11.6,28,1.53
305,"bg",10.4,35.25,10.72
306,"bg",8.3,29.26,18.91
308,"bg",9.7,28.58,8.05
309,"bg",5,36.45,9.13
310,"bg",5.8,36.86,12.57
311,"bg",7.6,28.55,11.84
312,"rm",5.6,33.38,13.63
314,"bg",3.5,34.63,2.55
316,"bg",4.5,37.86,14.5
317,"rm",3.6,37.66,9.62
401,"ro",42.2,3.91,42.84
408,"rm",32.8,2.95,28.52
440,"ro",39.7,6.98,26.6
445,"ro",63,12.86,31.4
447,"ro",31.9,11.26,32.51
448,"bg",14.8,12.66,32.8
449,"rm",13.9,12.56,34.88
454,"sh",14.7,21.51,44.54
457,"ro",39.7,17.02,38.55
459,"sm",6.3,17.05,35.04
460,"sm",8.2,17.32,37.25
468,"bg",10.5,21.52,27.37
472,"bb",17.8,13.56,26.03
773,"bg",14.5,13.84,28.24
474,"bg",13.8,10.67,27.7
488,"bb",22.1,11.92,40.36
498,"rm",9.1,9.35,41.55
504,"bg",11.6,3,26.53
505,"bg",10.4,10.25,35.72
506,"bg",8.3,4.26,43.91
508,"bg",9.7,3.58,33.05
509,"bg",5,11.45,34.13
510,"bg",5.8,11.86,37.57
511,"bg",7.6,3.55,36.84
512,"rm",5.6,8.38,38.63
514,"bg",3.5,9.63,27.55
516,"bg",4.5,12.86,39.5
517,"rm",3.6,12.66,34.62
601,"ro",42.2,28.91,42.84
608,"rm",32.8,27.95,28.52
640,"ro",39.7,31.98,26.6
645,"ro",63,37.86,31.4
647,"ro",31.9,36.26,32.51
648,"bg",14.8,37.66,32.8
649,"rm",13.9,37.56,34.88
654,"sh",14.7,46.51,44.54
657,"ro",39.7,43.02,38.55
659,"sm",6.3,43.05,35.04
660,"sm",8.2,43.32,37.25
668,"bg",10.5,46.52,27.37
672,"bb",17.8,38.56,26.03
673,"bg",14.5,38.84,28.24
674,"bg",13.8,35.67,27.7
688,"bb",22.1,36.92,40.36
698,"rm",9.1,34.35,41.55
704,"bg",11.6,28,26.53
705,"bg",10.4,35.25,35.72
706,"bg",8.3,29.26,43.91
708,"bg",9.7,28.58,33.05
709,"bg",5,36.45,34.13
710,"bg",5.8,36.86,37.57
711,"bg",7.6,28.55,36.84
712,"rm",5.6,33.38,38.63
714,"bg",3.5,34.63,27.55
716,"bg",4.5,37.86,39.5
717,"rm",3.6,37.66,34.62
