"Depth (cm)","Abies","Acer rubrum","Acer undiff.","Alnus","Betula","Carya","Castanea dentata","Corylus","Cupressaceae","Ericaceae","Fagus grandifolia","Fraxinus","Ilex","Juglans cinerea","Juglans nigra","Larix laricina","Liquidambar styraciflua "," Liriodendron tulipifera","Myricaceae","Nyssa","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Populus","Quercus","Salix","Tilia americana","Tsuga canadensis","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae undiff.","Asteraceae subf. Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Lamiaceae","Oenothera","Plantago","Poaceae","Polygonum","Rubus","Rumex","Sanguisorba","Thalictrum","Verbena","Huperzia lucidula","Huperzia selago","Osmunda","Polypodiaceae","Selaginella selaginoides","Sphagnum","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium","Typha latifolia","Utricularia","Spore (trilete)","Organic matter"
10,0,0,0,19,37,6,1,0,0,4,1,11,2,3,0,0,0,0,3,0,0,0,1,3,12,0,163,0,0,2,7,43,0,0,6,0,0,0,0,0,0,6,16,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,3,3,50
20,0,2,0,20,58,7,2,0,0,0,2,1,1,6,0,1,1,1,2,0,2,0,0,6,8,4,112,2,0,10,5,38,0,0,13,0,0,1,0,0,0,3,21,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,6,2,0,0,7,1,50
30,0,2,1,32,34,9,11,0,0,0,3,3,0,3,2,0,0,1,5,0,2,0,3,2,20,0,134,2,0,18,4,28,0,0,31,0,0,0,0,0,0,3,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,2,53
40,0,3,1,26,41,10,19,3,0,1,8,2,2,4,1,0,0,0,2,1,1,2,0,2,27,0,115,0,0,29,4,31,0,0,3,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,55
50,0,0,2,19,32,12,2,0,0,0,4,3,1,3,0,1,0,1,2,2,1,1,1,6,37,1,165,1,1,43,2,4,0,0,10,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,3,2,53
60,0,0,0,8,28,11,4,2,0,0,5,1,0,1,0,0,0,2,12,1,2,0,0,2,29,0,150,2,0,16,2,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,0,15,3,50
70,0,0,0,5,43,34,8,4,1,0,11,0,0,1,0,1,0,1,2,5,3,0,0,3,23,0,177,1,0,30,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,52
80,0,0,4,11,37,28,5,0,0,0,9,0,0,2,0,0,0,2,3,0,0,0,0,2,24,0,184,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,47
90,0,0,5,13,29,13,8,2,0,1,11,0,2,2,0,0,0,0,0,0,8,0,0,0,11,0,99,0,1,12,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,3,2,50
100,0,3,0,8,43,6,11,2,0,0,5,1,0,5,0,0,0,0,5,0,3,0,1,0,8,0,200,40,0,5,2,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,2,0,0,3,3,50
110,0,2,5,13,40,22,22,5,1,1,12,3,0,2,1,0,0,0,4,0,6,0,0,0,20,0,201,1,1,14,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,44
120,0,0,3,4,31,28,15,3,0,1,19,0,0,3,0,0,0,0,1,0,1,1,0,0,3,4,155,0,1,19,5,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,40
130,0,0,4,9,33,18,10,0,0,0,11,6,0,3,0,0,0,0,1,0,2,0,0,0,14,0,204,0,1,8,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,0,47
140,0,0,0,12,26,19,8,0,0,2,4,5,0,0,0,0,1,0,4,0,0,0,1,0,24,5,138,2,0,8,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,36
150,0,2,2,10,31,19,14,1,0,1,10,10,0,0,0,0,0,0,1,0,1,0,0,2,20,7,214,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,50
160,0,0,3,18,47,28,7,0,0,0,17,6,1,1,0,0,0,0,0,0,5,1,0,0,21,3,202,0,0,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,50
170,0,0,7,9,29,18,3,0,0,0,11,3,0,2,0,0,0,0,1,0,0,0,0,0,22,4,193,1,2,14,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,46
180,0,0,0,11,38,24,4,3,0,0,5,1,1,3,0,0,0,0,10,0,1,0,0,0,24,0,189,3,1,18,4,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,0,45
190,0,2,6,13,24,11,10,7,0,0,14,10,0,2,0,0,0,0,6,0,4,0,0,0,18,0,213,0,0,10,6,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,50
200,0,0,7,15,32,19,7,3,0,1,19,9,0,0,0,0,0,2,1,0,8,0,0,0,22,0,197,2,1,16,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,50
205,0,0,3,24,48,18,14,0,1,0,17,7,0,3,0,0,1,0,4,0,0,0,0,0,28,1,186,0,1,17,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,4,38
210,0,0,6,13,27,8,17,3,0,0,26,10,0,0,0,0,0,0,3,0,9,0,0,1,10,3,189,0,0,5,7,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,44
215,0,0,5,22,20,8,19,0,0,0,13,5,1,1,0,1,0,0,8,0,9,0,0,1,21,0,150,1,1,15,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,40
220,0,4,0,13,43,21,17,3,0,0,10,4,0,5,0,0,0,0,7,0,1,0,4,0,17,0,142,4,1,18,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,0,1,1,0,0,2,0,43
225,0,2,4,17,35,11,11,1,1,0,9,6,0,2,0,0,0,0,1,0,9,0,0,6,30,1,162,0,0,12,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,43
230,0,1,7,25,28,13,22,5,1,1,18,5,0,3,0,1,0,0,6,0,8,0,0,2,18,0,173,0,0,7,8,0,0,0,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,57
235,0,0,4,14,27,23,11,2,0,0,13,11,0,2,0,2,0,0,5,0,6,0,0,0,28,1,163,0,0,18,3,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
240,0,0,5,12,30,9,18,5,0,1,14,10,0,0,0,1,0,0,7,0,5,0,0,0,13,2,182,0,0,1,7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,50
245,0,0,2,5,29,27,5,0,0,0,19,3,1,0,0,0,0,0,1,0,6,0,0,0,26,1,187,0,1,12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
250,0,0,1,17,28,13,28,1,0,1,14,9,1,3,0,0,1,0,2,0,7,0,0,2,14,1,175,1,0,5,7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67
255,0,0,3,11,24,27,6,1,0,1,6,2,2,1,0,0,0,0,2,0,2,0,0,0,25,0,179,0,0,20,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,55
260,0,4,1,30,30,23,14,0,1,0,14,3,0,0,0,0,0,0,7,1,6,0,0,0,15,0,187,3,1,7,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,2,4,0,0,2,0,0,0,8,3,48
265,0,3,3,29,42,3,20,1,0,0,8,12,2,0,0,0,1,0,9,0,5,0,0,0,11,0,185,3,1,4,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,57
270,0,1,6,25,27,24,26,7,0,0,11,3,1,3,0,0,0,0,3,0,8,0,0,1,14,4,152,0,0,8,6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50
275,0,2,2,38,42,2,19,9,0,0,6,21,0,0,0,0,0,0,7,0,13,0,0,0,1,2,126,3,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
280,0,0,5,34,26,13,13,12,0,0,15,3,0,3,0,0,1,0,0,0,4,0,0,0,12,1,167,1,2,7,6,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47
285,0,1,1,19,44,4,18,2,0,0,2,8,0,1,0,0,0,0,3,1,3,0,0,0,6,0,199,0,0,4,6,0,1,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47
290,0,2,3,17,36,17,21,8,0,1,22,9,1,3,0,0,0,0,2,0,5,0,0,1,20,1,181,0,0,6,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43
295,0,0,7,22,27,4,15,1,0,0,2,15,0,1,0,0,0,0,2,0,9,0,0,0,3,1,202,0,0,2,3,0,0,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
300,0,0,3,19,23,13,10,2,0,0,13,1,0,1,0,0,2,0,11,0,2,0,2,0,11,0,171,1,0,6,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,8,0,46
305,0,0,1,14,39,24,6,0,0,2,17,7,0,1,0,0,0,0,4,0,3,0,0,1,36,0,188,0,0,23,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,43
310,0,0,2,22,29,16,19,10,0,0,13,6,0,1,0,1,0,0,4,0,3,0,0,0,14,1,210,0,3,5,9,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,47
315,0,0,2,30,47,1,14,2,0,0,6,21,0,1,0,0,0,0,4,0,5,0,0,0,7,2,174,2,0,5,6,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,45
320,0,0,7,15,29,27,16,4,0,0,24,6,0,1,0,0,1,0,3,0,5,0,0,1,30,0,150,2,0,3,9,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,50
325,0,0,8,17,43,4,9,12,1,0,11,13,0,1,0,0,1,0,2,0,11,0,0,1,14,2,160,2,0,4,9,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,46
330,0,0,8,22,35,9,26,10,0,0,13,8,1,0,0,0,0,0,0,0,13,0,0,0,12,1,154,2,0,0,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40
335,0,0,4,22,45,2,17,0,0,0,15,10,1,1,0,0,3,0,3,0,11,0,0,0,8,2,178,1,0,4,5,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
340,0,3,4,15,39,13,19,3,2,1,12,2,0,1,0,0,1,0,9,1,4,1,1,0,21,0,126,2,1,7,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,5,0,0,6,1,47
345,0,1,8,20,47,33,13,5,0,0,38,21,0,4,0,0,1,0,2,0,9,0,0,3,26,1,187,0,2,14,4,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40
350,0,0,4,19,38,11,22,3,0,0,22,11,1,3,0,0,0,0,5,0,6,0,0,3,13,3,189,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,50
355,0,1,4,30,39,5,28,10,0,0,3,21,0,1,0,0,0,0,0,0,7,0,0,1,11,4,125,3,0,3,3,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,43
360,0,1,8,18,38,13,36,3,0,0,29,4,2,0,0,0,3,0,2,0,7,0,0,5,27,1,204,2,0,11,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,55
365,0,2,6,20,32,23,18,3,0,0,12,14,0,0,0,0,0,0,5,0,1,0,0,4,27,0,156,1,0,4,8,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,50
370,0,0,7,27,27,7,50,9,0,0,19,12,0,4,0,0,0,0,0,0,6,0,0,0,5,0,208,1,1,3,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,50
375,0,0,3,21,19,6,32,6,0,0,10,39,1,0,0,0,0,0,2,0,11,0,0,0,10,1,105,1,0,6,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50
380,0,0,3,12,15,15,12,2,3,0,6,8,1,1,0,1,0,0,5,0,7,1,2,0,20,5,188,1,0,4,5,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,2,3,0,0,9,1,49
385,0,0,7,13,7,21,13,7,2,0,8,13,0,1,0,0,0,0,0,0,9,0,0,1,10,0,210,0,1,8,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,57
390,0,1,6,10,18,10,13,4,0,0,20,8,0,4,0,0,0,0,0,1,5,0,0,0,10,2,232,1,0,3,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50
395,0,0,5,23,12,15,9,4,0,1,13,11,0,1,0,0,1,0,2,0,5,0,0,0,17,1,219,0,2,4,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,44
400,0,0,4,16,18,14,17,1,0,0,11,8,0,0,0,0,0,0,1,0,5,0,0,1,26,0,221,1,0,6,3,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,44
405,0,2,7,25,15,14,24,1,1,0,10,6,0,3,0,2,2,0,1,0,7,0,0,2,20,0,189,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,3,60
410,0,0,7,15,6,8,25,14,0,0,15,18,0,1,0,0,0,0,0,0,13,0,0,0,8,1,203,0,1,1,7,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40
415,0,0,7,11,4,16,26,5,0,0,7,12,0,1,0,0,0,0,3,0,5,0,0,0,16,0,201,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28
420,0,1,5,21,16,13,27,0,9,0,5,6,0,1,0,0,0,0,2,1,3,0,1,0,8,6,178,6,0,2,2,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,5,4,47
425,0,0,2,18,11,31,16,3,0,0,15,12,1,2,0,0,0,0,2,0,8,0,0,3,26,0,233,1,0,4,5,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,67
430,0,0,6,9,5,16,18,8,0,0,13,10,0,3,0,0,0,0,1,0,6,0,0,1,13,0,195,0,1,5,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50
435,0,0,5,10,9,20,11,3,4,0,9,14,1,4,0,1,0,0,1,0,10,0,0,0,20,0,214,0,1,12,8,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,46
440,0,0,8,17,11,16,7,1,0,0,12,5,0,1,0,0,0,0,5,0,3,0,0,4,24,1,196,1,0,6,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40
445,0,0,9,25,4,21,9,5,0,0,14,3,0,0,0,1,0,0,4,0,7,0,0,0,32,0,183,0,0,9,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,50
450,0,0,3,20,5,12,13,4,1,0,10,6,0,0,0,0,0,0,1,0,7,0,0,0,10,5,231,0,1,5,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
455,0,0,4,9,12,12,5,5,0,0,10,10,0,1,0,0,0,0,0,0,8,0,0,0,11,3,193,0,2,5,7,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43
