"depth","Abies (Fir)","Picea (Spruce)","Alnus (Alder)","Betula (Birch)","Carya (Hickory)","Castanea dentata (Chestnut)","Fagus grandifolia (Beech)","Fraxinus (Ash)","Ostrya/Carpinus","Pinus (Pine)","Quercus (Oak)","Tsuga canadensis (Hemlock)","Gramineae (Grasses)","Asteraceae (Ragweed etc.)","Cyperaceae (Sedge)"
10,0,0,5.48,10.66,1.73,0.29,0.29,3.17,0,4.61,46.97,0.58,4.6,14.1,0
20,0,0,6.06,17.58,2.12,0.61,0.61,0.3,0.61,4.24,33.94,3.03,6.3,15.4,0
30,0,0,8.67,9.21,2.44,2.98,0.81,0.81,0.54,6.78,36.31,4.88,4.07,15.9,0
40,0,0,7.28,11.48,2.8,5.32,2.24,0.56,0.28,8.12,32.21,8.12,5.03,9.5,0
50,0,0,5.26,8.86,3.32,0.55,1.11,0.83,0.28,12.19,45.71,11.91,0.55,3.9,0
60,0,0,2.8,9.79,3.85,1.4,1.75,0.35,0.7,10.84,52.45,5.59,1.4,1.4,0
70,0,0,1.39,11.91,9.42,2.22,3.05,0,0.83,7.2,49.03,8.31,0,0.83,0
80,0,0,3.12,10.48,7.93,1.42,2.55,0,0,7.37,52.12,11.33,0,0,0
90,0,0,4.05,9.03,4.05,2.49,3.43,0,2.49,3.43,61.99,1.56,0.6,0.6,0
100,0,0,2.49,13.4,1.87,3.43,1.56,0.31,0.93,2.8,62.31,1.56,0.6,2.17,0
110,0,0,3.39,10.44,5.74,5.74,3.13,0.78,1.57,5.22,52.48,3.66,0.26,1.04,0
120,0,0,1.2,9.31,8.41,4.5,5.71,0,0.3,9.01,46.55,5.71,0.3,2.4,0
130,0,0,2.69,9.88,5.39,2.99,3.29,1.8,0.6,4.19,61.08,2.4,0,1.2,0
140,0,0,4.46,9.67,7.06,2.97,1.49,1.86,0,9.29,51.3,2.97,0.7,1.49,0
150,0,0,2.82,8.76,5.37,3.95,2.82,2.82,0.28,6.21,60.45,1.01,0.28,0.28,0
160,0,0,4.81,12.57,7.49,1.87,4.55,1.6,1.34,5.61,54.01,2.41,0,0.53,0
170,0,0,2.75,8.87,5.5,0.92,3.36,0.92,0,6.73,59.02,4.28,1.5,0.3,0
180,0,0,3.17,10.95,6.92,1.15,1.44,0.29,0.29,6.92,54.47,5.19,1.1,0.9,0
190,0,0,3.57,6.59,3.02,2.75,3.85,2.75,1.1,4.95,58.52,2.75,0.82,1.37,0
200,0,0,4.05,8.65,5.14,1.89,5.14,2.43,2.16,5.95,53.24,4.32,0.27,0.54,0
205,0,0,6.32,12.63,4.74,3.68,4.47,1.84,0,7.37,48.95,4.47,0.28,0.53,0
210,0,0,3.8,7.89,2.34,4.97,7.6,2.92,2.63,3.22,55.26,1.46,0.88,0.58,0
215,0,0,7.19,6.54,3.61,6.21,4.25,1.63,2.94,7.19,49.02,4.9,0,0,0
220,0,0,4.1,13.56,6.62,5.36,3.15,1.26,0.32,6.62,44.79,5.68,0,0.63,0
225,0,0,5.21,10.74,3.37,3.37,2.76,1.84,2.76,11.04,49.69,3.68,0.6,0.61,0
230,0,0,6.96,7.8,3.62,6.13,5.01,1.39,2.23,5.57,48.19,1.95,0.3,0.84,0
235,0,0,4.13,7.96,6.78,3.24,3.83,3.24,1.77,8.26,48.08,5.31,0.3,1.18,0
240,0,0,3.69,9.23,2.77,5.54,4.31,3.08,1.54,4,56,0.31,0.3,0.31,0
245,0,0,1.52,8.79,8.18,1.52,5.76,0.91,1.82,7.88,56.67,3.64,0,0.3,0
250,0,0,5.09,8.38,3.89,8.38,4.19,2.69,2.1,4.79,52.4,1.5,0.3,0.3,0
255,0,0,3.49,7.62,8.57,1.9,1.9,0.63,0.63,7.94,56.83,6.35,0,0,0
260,0,0,8.38,8.38,6.42,3.91,3.91,0.84,1.68,4.19,52.23,1.96,0.83,0.28,0
265,0,0,8.26,11.97,0.85,5.7,2.28,3.42,1.42,3.13,52.71,1.14,0.9,0.85,0
270,0,0,7.51,8.11,7.21,7.81,3.3,0.9,2.4,4.5,45.65,2.4,0.3,0.3,0
275,0,0,12.67,14,0.67,6.33,2,7,4.33,0.33,42,0.33,0,0,0
280,0,0,10.3,7.88,3.94,3.94,4.55,0.91,1.21,3.64,50.61,2.12,0.6,0.61,0
285,0,0,5.78,13.37,1.22,5.47,0.61,2.43,0.91,1.82,60.49,1.22,0.6,0.61,0
290,0,0,4.68,9.92,4.68,5.79,6.06,2.48,1.38,5.79,49.86,1.65,0.6,0.55,0
295,0,0,6.75,8.28,1.23,4.6,0.61,4.6,2.76,0.92,61.96,0.61,0.6,2.15,0
300,0,0,6.35,7.69,4.35,3.34,4.35,0.33,0.67,4.35,57.19,2.01,0.3,0.67,0
305,0,0,3.78,10.54,6.49,1.62,4.59,1.89,0.81,10,50.81,6.22,0.3,0,0
310,0,0,5.9,7.77,4.29,5.09,3.49,1.61,0.8,3.75,56.3,1.34,1,0.27,0
315,0,0,8.96,14.03,0.3,4.18,1.79,6.27,1.49,2.09,51.94,1.49,0.3,0.9,0
320,0,0,4.45,8.61,8.01,4.75,7.12,1.78,1.48,9.2,44.51,0.89,0.3,0.89,0
325,0,0,5.12,12.95,1.2,2.71,3.31,3.92,3.31,4.52,48.19,1.2,0.6,0.9,0
330,0,0,6.81,10.84,2.79,8.05,4.02,2.48,4.02,3.72,47.68,0,0,0.62,0
335,0,0,6.51,13.31,0.59,5.03,4.44,2.96,3.25,2.37,52.66,1.18,0.6,0,0
340,0,0,5.05,13.13,4.38,6.4,4.04,0.67,1.35,7.41,42.42,2.36,0,1.01,0
345,0,0,4.48,10.54,7.4,2.91,8.52,4.71,2.02,6.5,41.93,3.14,0.9,0.22,0
350,0,0,5.16,10.33,2.99,5.98,5.98,2.99,1.63,4.35,51.36,1.63,0.6,0,0
355,0,0,9.8,12.75,1.63,9.15,0.98,6.86,2.29,3.92,40.85,0.98,0.6,1.31,0
360,0,0,4.28,9.03,3.09,8.55,6.89,0.95,1.66,7.6,48.46,2.61,0.6,0.71,0
365,0,0,5.88,9.41,6.76,5.29,3.53,4.12,0.29,9.12,45.88,1.18,0.3,0.59,0
370,0,0,6.84,6.84,1.77,12.66,4.81,3.04,1.52,1.27,52.66,0.76,0.3,0.51,0
375,0,0,7.42,6.71,2.12,11.31,3.53,13.78,3.89,3.53,37.1,2.12,0.3,1.77,0
380,0,0,3.68,4.6,4.6,3.68,1.84,2.45,2.15,6.75,57.67,1.23,1.21,1.53,0
385,0,0,3.82,2.06,6.18,3.82,2.35,3.82,2.65,3.24,61.76,2.35,0,0.59,0
390,0,0,2.81,5.06,2.81,3.65,5.62,2.25,1.4,2.81,65.17,0.84,0,0.28,0
395,0,0,6.52,3.4,4.25,2.55,3.68,3.12,1.42,4.82,62.04,1.13,0.9,0.57,0
400,0,0,4.42,4.97,3.87,4.7,3.04,2.21,1.38,7.46,61.05,1.66,0.6,0,1.66
405,0,0,7.35,4.41,4.12,7.06,2.94,1.76,2.06,6.47,55.59,0.59,0,0.88,0
410,0,0,4.29,1.71,2.29,7.14,4.29,5.14,3.71,2.29,58,0.29,1.1,0.86,0
415,0,0,3.29,1.2,4.79,7.78,2.1,3.59,1.5,4.79,60.18,1.2,0.6,1.8,0
420,0,0,6.54,4.98,4.05,8.41,1.56,1.87,0.93,2.8,55.45,0.62,1.53,0.31,0
425,0,0,4.52,2.76,7.79,4.02,3.77,3.02,2.01,7.29,58.54,1.01,0.3,1.01,0
430,0,0,2.81,1.56,5,5.63,4.06,3.13,1.88,4.38,60.94,1.56,0,0.94,0
435,0,0,2.75,2.48,5.51,3.03,2.48,3.86,2.75,5.51,58.95,3.31,0.6,1.1,0
440,0,0,5.26,3.41,4.95,2.17,3.72,1.55,0.93,8.67,60.68,1.86,0,0.62,0
445,0,0,7.51,1.2,6.31,2.7,4.2,0.9,2.1,9.61,54.95,2.7,0.6,0.6,0
450,0,0,5.83,1.46,3.5,3.79,2.92,1.75,2.04,2.92,67.35,1.46,0.3,0.87,0
455,0,0,2.98,3.97,3.97,1.66,3.31,3.31,2.65,3.64,63.91,1.66,0.6,0.66,0
460,0,0,4.92,4.26,5.57,1.64,4.26,2.95,0.66,2.62,61.97,2.95,0.3,0.33,0
465,0,0,7.55,4.09,2.83,3.14,2.52,2.52,0.63,4.72,64.47,1.26,0.6,0.63,0
470,0,0,5.54,1.85,3.08,2.77,3.38,2.15,3.69,1.23,67.38,2.46,0,1.54,0
475,0,0,5.48,4.57,2.28,3.42,1.83,1.83,1.14,4.57,68.49,2.51,0,0.91,0
480,0,0,4.59,2.55,3.06,2.04,3.06,3.32,3.06,5.1,60.71,3.32,0.3,0.77,0
