"station","year","julian day","hour","avg temp deg C"
"Ridgetop",1996,1,100,1.58
"Ridgetop",1996,1,200,0.92
"Ridgetop",1996,1,300,0.25
"Ridgetop",1996,1,400,0.17
"Ridgetop",1996,1,500,-0.95
"Ridgetop",1996,1,600,-1.59
"Ridgetop",1996,1,700,-1.99
"Ridgetop",1996,1,800,-2.39
"Ridgetop",1996,1,900,-1.87
"Ridgetop",1996,1,1000,-1.07
"Ridgetop",1996,1,1100,-0.26
"Ridgetop",1996,1,1200,0.93
"Ridgetop",1996,1,1300,1.75
"Ridgetop",1996,1,1400,1.74
"Ridgetop",1996,1,1500,0.82
"Ridgetop",1996,1,1600,0.16
"Ridgetop",1996,1,1700,-0.7
"Ridgetop",1996,1,1800,-1.74
"Ridgetop",1996,1,1900,-1.97
"Ridgetop",1996,1,2000,-1.69
"Ridgetop",1996,1,2100,-2.53
"Ridgetop",1996,1,2200,-2.07
"Ridgetop",1996,1,2300,-3.53
"Ridgetop",1996,1,2400,-3.91
"Ridgetop",1996,2,100,-2.54
"Ridgetop",1996,2,200,-2.45
"Ridgetop",1996,2,300,-3.09
"Ridgetop",1996,2,400,-5.06
"Ridgetop",1996,2,500,-5.32
"Ridgetop",1996,2,600,-5.87
"Ridgetop",1996,2,700,-5.9
"Ridgetop",1996,2,800,-6.7
"Ridgetop",1996,2,900,-6.96
"Ridgetop",1996,2,1000,-7.45
"Ridgetop",1996,2,1100,-7.73
"Ridgetop",1996,2,1200,-8.2
"Ridgetop",1996,2,1300,-8.81
"Ridgetop",1996,2,1400,-9.15
"Ridgetop",1996,2,1500,-9.64
"Ridgetop",1996,2,1600,-10.34
"Ridgetop",1996,2,1700,-10.69
"Ridgetop",1996,2,1800,-10.99
"Ridgetop",1996,2,1900,-11.38
"Ridgetop",1996,2,2000,-11.72
"Ridgetop",1996,2,2100,-11.93
"Ridgetop",1996,2,2200,-12.17
"Ridgetop",1996,2,2300,-12.29
"Ridgetop",1996,2,2400,-12.63
"Ridgetop",1996,3,100,-12.85
"Ridgetop",1996,3,200,-13.16
"Ridgetop",1996,3,300,-13.37
"Ridgetop",1996,3,400,-13.59
"Ridgetop",1996,3,500,-13.52
"Ridgetop",1996,3,600,-13.67
"Ridgetop",1996,3,700,-13.6
"Ridgetop",1996,3,800,-13.61
"Ridgetop",1996,3,900,-13.35
"Ridgetop",1996,3,1000,-12.88
"Ridgetop",1996,3,1100,-12.39
"Ridgetop",1996,3,1200,-11.79
"Ridgetop",1996,3,1300,-11.03
"Ridgetop",1996,3,1400,-10.64
"Ridgetop",1996,3,1500,-10.29
"Ridgetop",1996,3,1600,-10.87
"Ridgetop",1996,3,1700,-11.55
"Ridgetop",1996,3,1800,-12.18
"Ridgetop",1996,3,1900,-12.68
"Ridgetop",1996,3,2000,-12.87
"Ridgetop",1996,3,2100,-13.1
"Ridgetop",1996,3,2200,-13.4
"Ridgetop",1996,3,2300,-13.84
"Ridgetop",1996,3,2400,-14.41
"Ridgetop",1996,4,100,-14.75
"Ridgetop",1996,4,200,-15.01
"Ridgetop",1996,4,300,-15.08
"Ridgetop",1996,4,400,-14.93
"Ridgetop",1996,4,500,-15.25
"Ridgetop",1996,4,600,-16
"Ridgetop",1996,4,700,-17.1
"Ridgetop",1996,4,800,-17.78
"Ridgetop",1996,4,900,-18.03
"Ridgetop",1996,4,1000,-17.39
"Ridgetop",1996,4,1100,-16.08
"Ridgetop",1996,4,1200,-14.1
"Ridgetop",1996,4,1300,-12.45
"Ridgetop",1996,4,1400,-10.77
"Ridgetop",1996,4,1500,-10.53
"Ridgetop",1996,4,1600,-11.21
"Ridgetop",1996,4,1700,-11.96
"Ridgetop",1996,4,1800,-12.07
"Ridgetop",1996,4,1900,-12.02
"Ridgetop",1996,4,2000,-12.01
"Ridgetop",1996,4,2100,-12.24
"Ridgetop",1996,4,2200,-12.33
"Ridgetop",1996,4,2300,-12.37
"Ridgetop",1996,4,2400,-12.29
"Ridgetop",1996,5,100,-11.97
"Ridgetop",1996,5,200,-11.94
"Ridgetop",1996,5,300,-11.65
"Ridgetop",1996,5,400,-11.18
"Ridgetop",1996,5,500,-10.88
"Ridgetop",1996,5,600,-10.85
"Ridgetop",1996,5,700,-11.39
"Ridgetop",1996,5,800,-11.37
"Ridgetop",1996,5,900,-11.02
"Ridgetop",1996,5,1000,-11.24
"Ridgetop",1996,5,1100,-10.4
"Ridgetop",1996,5,1200,-9.51
"Ridgetop",1996,5,1300,-8.78
"Ridgetop",1996,5,1400,-8.1
"Ridgetop",1996,5,1500,-7.94
"Ridgetop",1996,5,1600,-8.46
"Ridgetop",1996,5,1700,-9.83
"Ridgetop",1996,5,1800,-11.3
"Ridgetop",1996,5,1900,-12.92
"Ridgetop",1996,5,2000,-14.79
"Ridgetop",1996,5,2100,-16.17
"Ridgetop",1996,5,2200,-17.23
"Ridgetop",1996,5,2300,-17.94
"Ridgetop",1996,5,2400,-18.57
"Ridgetop",1996,6,100,-19.48
"Ridgetop",1996,6,200,-20.71
"Ridgetop",1996,6,300,-20.63
"Ridgetop",1996,6,400,-20.15
"Ridgetop",1996,6,500,-20.1
"Ridgetop",1996,6,600,-20.68
"Ridgetop",1996,6,700,-21.26
"Ridgetop",1996,6,800,-21.49
"Ridgetop",1996,6,900,-21.12
"Ridgetop",1996,6,1000,-20.5
"Ridgetop",1996,6,1100,-18.37
"Ridgetop",1996,6,1200,-16.09
"Ridgetop",1996,6,1300,-13.75
"Ridgetop",1996,6,1400,-12.48
"Ridgetop",1996,6,1500,-11.98
"Ridgetop",1996,6,1600,-12.9
"Ridgetop",1996,6,1700,-14.05
"Ridgetop",1996,6,1800,-14.6
"Ridgetop",1996,6,1900,-15.55
"Ridgetop",1996,6,2000,-16.44
"Ridgetop",1996,6,2100,-17.11
"Ridgetop",1996,6,2200,-17.4
"Ridgetop",1996,6,2300,-17.7
"Ridgetop",1996,6,2400,-17.93
"Ridgetop",1996,7,100,-17.97
"Ridgetop",1996,7,200,-18.03
"Ridgetop",1996,7,300,-17.94
"Ridgetop",1996,7,400,-17.97
"Ridgetop",1996,7,500,-17.97
"Ridgetop",1996,7,600,-18.18
"Ridgetop",1996,7,700,-18.09
"Ridgetop",1996,7,800,-17.86
"Ridgetop",1996,7,900,-17.69
"Ridgetop",1996,7,1000,-17.68
"Ridgetop",1996,7,1100,-17.68
"Ridgetop",1996,7,1200,-18.2
"Ridgetop",1996,7,1300,-18.18
"Ridgetop",1996,7,1400,-18.14
"Ridgetop",1996,7,1500,-17.96
"Ridgetop",1996,7,1600,-17.72
"Ridgetop",1996,7,1700,-17.21
"Ridgetop",1996,7,1800,-17.11
"Ridgetop",1996,7,1900,-17.17
"Ridgetop",1996,7,2000,-17.11
"Ridgetop",1996,7,2100,-16.66
"Ridgetop",1996,7,2200,-16.33
"Ridgetop",1996,7,2300,-16.16
"Ridgetop",1996,7,2400,-15.91
"Ridgetop",1996,8,100,-15.76
